pair_id	topic	relation	argument1	argument2	source_arg_1	source_arg_2
0002	cuba	no_relation	What I have advocated is that we use all available commuuications - radio , television , and the press - and the moral power of the American Government - to let the forces of freedom in Cuba know that we believe that freedom will again rise in their country . I will be pleased to discuss the whole record of Cuba with you - how this island only 90 miles from our border fell into Communist hands and the sorry record of administration inaction with regard to Cuba . I can not understand , however , why you wish to place a gag on the press in this final debate .	They can say we ca n't object to the Soviet Union moving into Cuba under the Monroe Doctrine - we could at the present time - if the United States is attempting to intervene and move into the internal affairs of Cuba . Let 's suppose the Soviet Union does move into Cuba . Suppose they do move in to help Castro .	Kennedy_October_23_1960	Nixon_October_22_1960
0003	cuba	support	We could have tried to inject ourselves into the Congo without honoring our commitments to the United Nations charter , just as Khrushchev seems to be trying to do . We could have turned Cuba into a second Hungary . But we can be eternally grateful that we have a man in the White House who did none of these things .	I do n't take the views that the only alternative to a dictator is a Communist dictator . If the United States had just had its influence , and at that time the United States was extremely powerful in Cuba , it seems to me we could have persuaded Mr. Batista to hold free elections at the time he was permitted to go and permit the Cuban people to make their choice instead of letting Castro seize power through revolution . I think we are going to have a good deal of trouble in the future with Castro through all of Latin America .	Nixon_September_12_1960	Kennedy_September_2_1960
0004	cuba	support	And the young men and women , those who are students , those who teach them , those who represent the intellectual vitality of these countries , began to look to the United States as a dynamic country which carried with it a hope for a better life for people all over the world . Should we be astonished at what is happening in the Congo today when they have less than a handful , probably less than 14 , college graduates in the whole country ? When there is no officer who is a Negro who is native in any of their armed forces ? Do you think that a country can manage a system as sensitive as democracy when it does not have the chance to educate its people ? In Laos , Cambodia , the Congo , and Cuba we have seen in the last few years the tide turn against us . But I do not concern myself with the feeling that the decline of the United States has set in. This is a great country .	Oh , the problems are great . In Cuba , in the Congo , in the Near East , all over the world , there are problems with which we are confronted and we will continue to be confronted with them in the years ahead . But the opportunities are even greater .	Kennedy_September_2_1960	Nixon_August_26_1960
0005	cuba	attack	I say in that connection that with all the criticism of President Eisenhower 's administration , they ca n't take away the solid fact that under his leadership we got the United States out of one war ; we 've kept her out of other wars , and we do have peace without surrender today . Yes , there are problems , problems like the one in Cuba that my opponent is discussing tonight without offering any solution for , and , incidentally , may I say , looking at that problem , I will have more to say about that at a later time , and he had better look to the record of his administration before he starts criticizing ours in that field . He talks about dictators , and I can only say that the number of dictators we inherited from the Truman administration is far greater than the number we have today in Latin America , and that 's something he must remember .	Major policy on issues such as Cuban security is made at the highest levels - in the National Security Council and elsewhere - and it is the party in power which must accept full responsibility for this disaster . The story of the transformation of Cuba from a friendly ally to a Communist base is - in large measure - the story of a government in Washington which lacked the imagination and compassion to understand the needs of the Cuban people - which lacked the leadership and vigor to move forward to meet those needs - and which lacked the foresight and vision to see the inevitable results of its own failures . And it is a tragic irony that even while these policies of failure here were being pursued our policymakers received repeated and urgent warnings that international communism was becoming a moving force behind Mr. Castro and the revolution - that our interest and the interests of freedom were in danger - that a new Soviet satellite was in the making .	Nixon_October_6_1960	Kennedy_October_6_1960
0008	cuba	attack	These people will feel they have no chance , and then , of course , they will listen to Castros . So I would suggest that the United States try to develop again the spirit of the good neighbor policy of Franklin Roosevelt , that we regard this as the first line of defense , that we bring in students , that we broadcast in Spanish to Cuba and all of Latin America , that we tell our story , that we help them distribute their agricultural products and resources , and maintain their economy and provide a gradual increase in the standard of living for each person . This is the key to Latin America .	He must never be rash or impulsive . That 's why President Eisenhower has followed a policy with regard to Cuba , of quarantining them diplomatically and economically , rather than a policy advocated by some of direct Government intervention in that country . The latter policy sounds good , but the President knew that if he did that , that he would lose , in effect , our allies and friends throughout the world .	Kennedy_November_7_1960	Nixon_November_6_1960
0009	cuba	no_relation	Take my opponent , for example . He says on the Cuban situation that he did not intend to suggest that the American Government should intervene in the internal affairs of Cuba . And yet the words he used ,  the U.S. Government should support the anti-Castro forces in Cuba  have been interpreted by his friends among the press , by all the people abroad , by all of the allies of the United States , as meaning exactly that .	The Associated Press this month featured an excellent survey by Relman Morin entitled  U.S. Prestige Is Damaged in Asia  - citing our image in that continent as that of a  well-meaning but confused and confusing giant .  To the Asian , this report said , the administration 's policy on Cuba  was a clear case of American indecision , fumbling , and possible weakness .  The events of last summer , the survey reported - the U-2 , summit , and Toyko chain of events -  appear to have shown that the United States was weak , indecisive , incapable of evaluating trends , anticipating developments and formulating action to meet them .	Nixon_October_26_1960	Kennedy_October_25_1960
0010	cuba	no_relation	As the President indicated in his press conference in Washington this morning , there 's no question about our attitude toward Cuba , our determination that there will not be set up a foreign-controlled Communist dictatorship in Cuba [ applause ] but what we must remember too is that the United States has the power - and Mr. Castro knows this - to throw him out of office any day that we would choose , but getting rid of Castro is not the answer alone . We have to remember what brought Castro and then we have to give a constructive alternative to the people not only of Cuba , but to the people of all the Latin American countries , where they can see that there is a way to a better life in those countries without turning to Communist dictatorship to get it . This is what we have to prove to them .	Mr. Nixon may now say he has been urging an acceleration of our defense all along - but in his August 10 press conference the President said he knew of no such different viewpoint by the Vice President , adding :  Certainly if there is , he has n't come to me about it .  What was the Security Council doing while the Nation was undergoing this experience ? Why would anyone point with pride to presiding over successive blows to our security and prestige - Indochina , Hungary , Suez , Sputnik , the riots in Venezuela , the collapse of the summit , the riots in Japan , the collapse of the Baghdad Pact , the failure of disarmament , the U-2 fiasco , and now Cuba and the Congo ? Why would anyone boast about presiding over the Security Council during the years it rejected the now accepted findings of the Gaither report , the Killian report , and the Rockefeller report - during the years it held back our missiles and frustrated our efforts in Space - during the years it failed to come up with one new idea of any importance : for  Atoms for Peace  was a slogan , the Eisenhower Middle East Doctrine was a farce , the  open skies  plan was a gesture , and the Baghdad Pact was a failure . Mr. Nixon has presided , in short , over the decline of our national security .	Nixon_August_24_1960	Kennedy_August_24_1960
0012	cuba	no_relation	Now the issues which face us are not merely to maintain employment in Niagara County , not merely to develop the resources of northern New York , not merely to make a better life for our people in New York State and in the United States . Now the President , and therefore the people , have to be concerned with the Congo and Cuba and Laos , countries which most of us had never heard of 10 years ago , and yet which will affect the lives of everyone here - Guinea , Ghana , countries which were colonial countries 2 years ago , now independent . What they do will affect the security of your children in every school in this country .	They feel we were correct , I think , the majority of them , in acting as we did with regard to the sugar , the taking away of special consideration that we had with regard to sugar . They thought that was justified in view of the Cuban Government 's expropriation of much of our property , but I think our present course in Cuba has not lost us friends in Latin America . If anything , it has gained us friends .	Kennedy_September_28_1960	Nixon_September_21_1960
0013	cuba	attack	Secondly , also before the threat reached that stage , each of these areas had been visited by Mr. Richard Nixon . Why was not our Latin American capital investment program strengthened in 1958 , after Mr. Nixon was there , instead of this summer at the point of Mr. Castro 's gun ? Why did we not encourage free elections in Cuba after Mr. Nixon was there in 1955 , in order to stave off a revolt against what he called in a Havana press conference in 1955  the competence and stability  of the Batista dictatorship ? Why are we suddenly embarking now on a crash program for African scholarships for students ? Last year we allocated no scholarships at all to the Congo , practically none to other French and Belgian colonies and , indeed , practically none to the continent of Africa itself . We have allocated more scholarships this summer to the Congo than we allocated to all of Africa a year ago .	Talk about the situation , for example , in Cuba . Does Mr. Khrushchev gain prestige because he shoots down hundreds of thousands of people in the streets of Budapest in Hungary ? And does President Eisenhower lose prestige for America because he does not use our great power as he could against Mr. Castro in Cuba and the Cuban people ? But he works with other American States in developing the opinions which will keep the Cuban people on our side when eventually they get the right to choose the kind of government they want to . No; we gain ; they do n't .	Kennedy_September_29_1960	Nixon_September_21_1960
0014	cuba	no_relation	Three years ago I went to Havana . I was told that the American Ambassador was the second most powerful man in Cuba . Probably he should not be , but he is not today .	This also means that we must be firm every place in the world ; because the road to peace is not through appeasement . And the United States , wherever we find freedom threatened , whether it is in Berlin , whether it is in Cuba , wherever it is in the world - we must make it clear to potential aggressors throughout the world that we will stand with the forces of freedom in resisting the attempts to destroy freedom wherever it is . And so we begin with these two ingredients , which everybody would agree with : Military strength second to none .	Kennedy_August_24_1960	Nixon_August_4_1960
0015	cuba	no_relation	These are the issues which are before the United States and before the United Nations and before the world in the next 10 years . Are other countries of Africa going to join Ghana ? Are other countries of Latin America going to join Cuba ? Are other countries of Asia going to join Laos in the next 10 years ? What contribution can we make to the cause of freedom here in the United States , and the cause of freedom around the world ? I think that is the question that is before us this year . It is not the questions that have been traditionally before us , not the old arguments that divided our party .	And for those who talk about our prestige , does Mr. Khrushchev gain in prestige because he breaks up a conference , a conference that is designed to alleviate tensions ? And does President Eisenhower lose prestige for America because he maintains dignity and say I will go an extra mile ? Of course not . Talk about the situation , for example , in Cuba . Does Mr. Khrushchev gain prestige because he shoots down hundreds of thousands of people in the streets of Budapest in Hungary ? And does President Eisenhower lose prestige for America because he does not use our great power as he could against Mr. Castro in Cuba and the Cuban people ? But he works with other American States in developing the opinions which will keep the Cuban people on our side when eventually they get the right to choose the kind of government they want to .	Kennedy_September_27_1960	Nixon_September_21_1960
